id,cause_of_death,dead_or_missing,route,year,month
1698,drowning or exhaustion,2,Western African Route,2006,12
1699,drowning or exhaustion,1,,2006,12
1700,drowning or exhaustion,12,Western African Route,2006,12
1701,drowning or exhaustion,1,Western African Route,2006,12
1702,unknown,3,Eastern Mediterranean Route,2006,12
1703,unknown,1,Western African Route,2006,11
1704,drowning or exhaustion,24,Western African Route,2006,11
1705,drowning or exhaustion,1,Western African Route,2006,11
1706,drowning or exhaustion,20,Western African Route,2006,11
1707,unknown,1,Western Mediterranean Route,2006,11
1708,drowning or exhaustion,3,Eastern Mediterranean Route,2006,11
1709,drowning or exhaustion,51,Eastern Mediterranean Route,2006,11
1710,unknown,15,Western African Route,2006,11
1711,unknown,3,Western African Route,2006,11
1712,violent accidental death,1,,2006,11
1713,unknown,1,Western Mediterranean Route,2006,11
1714,unknown,1,Eastern Mediterranean Route,2006,10
1715,drowning or exhaustion,6,Western Mediterranean Route,2006,10
1716,suicide,1,,2006,10
1717,unknown,12,Western Mediterranean Route,2006,10
1718,unknown,3,Central Mediterranean Route,2006,10
1719,unknown,1,Central Mediterranean Route,2006,10
1720,drowning or exhaustion,4,Central Mediterranean Route,2006,10
1721,unknown,2,Central Mediterranean Route,2006,10
1722,drowning or exhaustion,1,Western Mediterranean Route,2006,10
1723,drowning or exhaustion,40,Eastern Mediterranean Route,2006,10
1724,violent accidental death,2,Eastern Mediterranean Route,2006,10
1725,suicide,1,,2006,10
1726,unknown,20,Western African Route,2006,10
1727,suicide,1,,2006,10
1728,drowning or exhaustion,9,Western Mediterranean Route,2006,1
1729,malicious intent,1,,2006,1
1730,violent accidental death,1,,2006,1
1731,drowning or exhaustion,8,Western Mediterranean Route,2006,1
1732,drowning or exhaustion,3,Eastern Mediterranean Route,2006,1
1733,suicide,1,,2006,1
1734,drowning or exhaustion,50,Western African Route,2006,1
1735,suicide,1,,2006,1
1736,drowning or exhaustion,2,,2006,1
1737,unknown,18,Western Mediterranean Route,2006,1
1738,violent accidental death,1,,2006,1
1739,suicide,1,,2006,1
1740,drowning or exhaustion,3,Central Mediterranean Route,2006,1
1741,unknown,2,Central Mediterranean Route,2006,1
1742,drowning or exhaustion,3,Western African Route,2006,1
1743,drowning or exhaustion,7,Eastern Mediterranean Route,2006,1
1744,drowning or exhaustion,1,Western Mediterranean Route,2006,1
1745,violent accidental death,4,Western African Route,2006,1
1746,drowning or exhaustion,28,Western African Route,2006,1
1747,drowning or exhaustion,2,Central Mediterranean Route,2006,1
1748,drowning or exhaustion,1,Central Mediterranean Route,2006,1
1749,suicide,1,,2006,1
1750,violent accidental death,3,,2006,1
1751,drowning or exhaustion,30,,2006,1
1752,unknown,11,Western African Route,2006,1
1753,authorities related death,1,Western Mediterranean Route,2006,1
1754,unknown,1,,2006,1
1755,drowning or exhaustion,11,Western African Route,2006,1
1756,drowning or exhaustion,1,Central Mediterranean Route,2006,1
1757,unknown,1,Eastern Mediterranean Route,2006,1
1758,suicide,1,,2006,1
1759,malicious intent,2,,2006,1
1760,unknown,1,,2006,1
1761,drowning or exhaustion,1,,2006,1
1762,unknown,17,Western African Route,2005,9
1763,unknown,3,Western Mediterranean Route,2005,9
1764,drowning or exhaustion,1,Central Mediterranean Route,2005,9
1765,unknown,1,,2005,9
1766,authorities related death,5,Western Mediterranean Route,2005,9
1767,drowning or exhaustion,34,Eastern Mediterranean Route,2005,9
1768,drowning or exhaustion,1,Central Mediterranean Route,2005,9
1769,unknown,6,Central Mediterranean Route,2005,9
1770,violent accidental death,6,,2005,9
1771,drowning or exhaustion,18,Western African Route,2005,9
1772,drowning or exhaustion,4,Central Mediterranean Route,2005,9
1773,authorities related death,2,Eastern Mediterranean Route,2005,9
1774,unknown,1,Western Mediterranean Route,2005,9
1775,authorities related death,1,Western Mediterranean Route,2005,9
1776,unknown,4,,2005,9
1777,suicide,1,,2005,9
1778,drowning or exhaustion,1,,2005,9
1779,unknown,1,Central Mediterranean Route,2005,9
1780,authorities related death,1,,2005,9
1781,unknown,2,,2005,9
1782,unknown,1,Western Mediterranean Route,2005,9
1783,violent accidental death,2,Eastern Mediterranean Route,2005,9
1784,unknown,21,Central Mediterranean Route,2005,9
1785,violent accidental death,4,,2005,9
1786,suicide,1,,2005,9
1787,authorities related death,1,Western Mediterranean Route,2005,9
1788,unknown,2,Western Mediterranean Route,2005,8
1789,unknown,25,,2005,8
1790,drowning or exhaustion,26,Central Mediterranean Route,2005,8
1791,unknown,2,Western African Route,2005,8
1792,drowning or exhaustion,2,Central Mediterranean Route,2005,8
1793,drowning or exhaustion,4,,2005,8
1794,suicide,1,,2005,8
1795,unknown,1,Eastern Mediterranean Route,2005,8
1796,drowning or exhaustion,9,Eastern Mediterranean Route,2005,8
1797,unknown,23,Western African Route,2005,8
1798,unknown,130,Central Mediterranean Route,2005,8
1799,unknown,1,,2005,8
1800,authorities related death,1,Western Mediterranean Route,2005,8
1801,drowning or exhaustion,2,Eastern Mediterranean Route,2005,7
1802,drowning or exhaustion,3,Eastern Mediterranean Route,2005,7
1803,unknown,7,Central Mediterranean Route,2005,7
1804,suicide,1,,2005,7
1805,unknown,2,,2005,7
1806,drowning or exhaustion,39,Western Mediterranean Route,2005,7
1807,violent accidental death,1,,2005,6
1808,authorities related death,1,,2005,6
1809,suicide,1,,2005,6
1810,drowning or exhaustion,2,Eastern Mediterranean Route,2005,6
1811,drowning or exhaustion,27,Central Mediterranean Route,2005,6
1812,unknown,12,Western African Route,2005,6
1813,drowning or exhaustion,3,,2005,6
1814,drowning or exhaustion,14,,2005,6
1815,unknown,11,,2005,6
1816,drowning or exhaustion,2,,2005,6
1817,drowning or exhaustion,4,,2005,6
1818,drowning or exhaustion,3,,2005,6
1819,drowning or exhaustion,1,Western African Route,2005,6
1820,drowning or exhaustion,12,Western Mediterranean Route,2005,6
1821,drowning or exhaustion,14,Western Mediterranean Route,2005,6
1822,unknown,6,Western Mediterranean Route,2005,6
1823,drowning or exhaustion,1,Eastern Mediterranean Route,2005,6
1824,drowning or exhaustion,2,Western Mediterranean Route,2005,6
1825,unknown,4,Eastern Mediterranean Route,2005,5
1826,violent accidental death,2,Eastern Mediterranean Route,2005,5
1827,drowning or exhaustion,11,,2005,5
1828,drowning or exhaustion,1,Western Mediterranean Route,2005,5
1829,drowning or exhaustion,16,Central Mediterranean Route,2005,5
1830,unknown,17,,2005,5
1831,unknown,1,Western African Route,2005,5
1832,drowning or exhaustion,1,Western African Route,2005,4
1833,unknown,2,Eastern Mediterranean Route,2005,4
1834,unknown,2,Eastern Mediterranean Route,2005,4
1835,suicide,1,,2005,4
1836,unknown,1,Western Mediterranean Route,2005,4
1837,drowning or exhaustion,24,Central Mediterranean Route,2005,4
1838,authorities related death,1,,2005,4
1839,unknown,2,Central Mediterranean Route,2005,4
1840,unknown,14,Western African Route,2005,4
1841,drowning or exhaustion,18,Western Mediterranean Route,2005,4
1842,suicide,1,,2005,4
1843,drowning or exhaustion,23,Western African Route,2005,4
1844,violent accidental death,2,Eastern Mediterranean Route,2005,4
1845,drowning or exhaustion,14,Western African Route,2005,3
1846,drowning or exhaustion,3,Western African Route,2005,3
1847,drowning or exhaustion,5,Western African Route,2005,3
1848,drowning or exhaustion,1,Western African Route,2005,3
1849,malicious intent,9,Central Mediterranean Route,2005,3
1850,drowning or exhaustion,6,Central Mediterranean Route,2005,3
1851,unknown,100,Central Mediterranean Route,2005,3
1852,drowning or exhaustion,30,Western African Route,2005,3
1853,violent accidental death,1,,2005,3
1854,unknown,36,,2005,3
1855,drowning or exhaustion,1,Western African Route,2005,3
1856,drowning or exhaustion,1,Western Mediterranean Route,2005,2
1857,drowning or exhaustion,35,Western Mediterranean Route,2005,2
1858,unknown,2,Western Mediterranean Route,2005,2
1859,unknown,2,Western Mediterranean Route,2005,2
1860,drowning or exhaustion,1,Western Mediterranean Route,2005,2
1861,unknown,2,Western Mediterranean Route,2005,2
1862,suicide,1,,2005,2
1863,drowning or exhaustion,1,Western Mediterranean Route,2005,2
1864,suicide,1,,2005,2
1865,drowning or exhaustion,1,Western Mediterranean Route,2005,2
1866,drowning or exhaustion,26,Central Mediterranean Route,2005,2
1867,drowning or exhaustion,9,Central Mediterranean Route,2005,2
1868,suicide,1,,2005,2
1869,drowning or exhaustion,30,Eastern Mediterranean Route,2005,2
1870,suicide,1,,2005,2
1871,malicious intent,1,,2005,12
1872,malicious intent,1,Apulia and Calabria Route,2005,12
1873,authorities related death,26,,2005,12
1874,drowning or exhaustion,1,Western Mediterranean Route,2005,12
1875,drowning or exhaustion,1,Western Mediterranean Route,2005,12
1876,drowning or exhaustion,1,Western Mediterranean Route,2005,12
1877,unknown,2,Western Mediterranean Route,2005,12
1878,drowning or exhaustion,2,Western Mediterranean Route,2005,12
1879,malicious intent,2,,2005,12
1880,drowning or exhaustion,30,Western African Route,2005,12
1881,malicious intent,1,,2005,12
1882,drowning or exhaustion,1,Western Mediterranean Route,2005,12
1883,violent accidental death,2,Eastern Mediterranean Route,2005,12
1884,drowning or exhaustion,3,Western Mediterranean Route,2005,12
1885,unknown,11,Western African Route,2005,12
1886,drowning or exhaustion,30,Western African Route,2005,12
1887,drowning or exhaustion,50,Western African Route,2005,12
1888,drowning or exhaustion,1,Western Mediterranean Route,2005,11
1889,drowning or exhaustion,18,Western African Route,2005,11
1890,authorities related death,1,,2005,11
1891,unknown,1,Western Mediterranean Route,2005,11
1892,drowning or exhaustion,22,Western Mediterranean Route,2005,11
1893,violent accidental death,1,,2005,11
1894,drowning or exhaustion,3,Eastern Borders Route,2005,11
1895,drowning or exhaustion,20,Central Mediterranean Route,2005,11
1896,violent accidental death,1,,2005,11
1897,drowning or exhaustion,1,Western Mediterranean Route,2005,11
1898,drowning or exhaustion,9,Central Mediterranean Route,2005,11
1899,violent accidental death,1,Eastern Mediterranean Route,2005,11
1900,drowning or exhaustion,11,Central Mediterranean Route,2005,11
1901,drowning or exhaustion,1,Western Mediterranean Route,2005,11
1902,unknown,2,Central Mediterranean Route,2005,11
1903,unknown,30,Eastern Mediterranean Route,2005,11
1904,drowning or exhaustion,11,Western Mediterranean Route,2005,11
1905,suicide,1,Apulia and Calabria Route,2005,10
1906,unknown,2,Western Mediterranean Route,2005,10
1907,violent accidental death,1,,2005,10
1908,violent accidental death,1,,2005,10
1909,violent accidental death,9,,2005,10
1910,unknown,1,Eastern Mediterranean Route,2005,10
1911,drowning or exhaustion,7,Central Mediterranean Route,2005,10
1912,unknown,1,,2005,10
1913,suicide,1,,2005,10
1914,drowning or exhaustion,2,,2005,10
1915,unknown,1,Western Mediterranean Route,2005,10
1916,drowning or exhaustion,22,Western Mediterranean Route,2005,10
1917,unknown,1,Western Mediterranean Route,2005,10
1918,drowning or exhaustion,1,,2005,10
1919,drowning or exhaustion,11,Central Mediterranean Route,2005,10
1920,authorities related death,1,,2005,10
1921,drowning or exhaustion,20,Western Mediterranean Route,2005,10
1922,violent accidental death,6,Western Mediterranean Route,2005,10
1923,violent accidental death,1,,2005,10
1924,drowning or exhaustion,16,Western Mediterranean Route,2005,10
1925,drowning or exhaustion,2,Western African Route,2005,10
1926,drowning or exhaustion,1,Eastern Mediterranean Route,2005,1
1927,drowning or exhaustion,1,Eastern Mediterranean Route,2005,1
1928,suicide,1,,2005,1
1929,suicide,1,,2005,1
1930,drowning or exhaustion,10,Western African Route,2005,1
1931,drowning or exhaustion,17,Western African Route,2005,1
1932,authorities related death,11,Western Mediterranean Route,2005,1
1933,unknown,3,Eastern Mediterranean Route,2005,1
1934,malicious intent,2,,2005,1
1935,suicide,1,,2005,1
1936,suicide,1,,2005,1
1937,malicious intent,2,,2005,1
1938,drowning or exhaustion,1,,2005,1
1939,unknown,1,Western African Route,2005,1
1940,drowning or exhaustion,1,Western Mediterranean Route,2005,1
1941,drowning or exhaustion,3,,2005,1
1942,unknown,1,,2005,1
1943,unknown,3,,2005,1
1944,drowning or exhaustion,2,Western African Route,2005,1
1945,drowning or exhaustion,3,,2005,1
1946,drowning or exhaustion,5,Apulia and Calabria Route,2004,9
1947,drowning or exhaustion,18,Apulia and Calabria Route,2004,9
1948,drowning or exhaustion,3,Apulia and Calabria Route,2004,9
1949,drowning or exhaustion,2,Western African Route,2004,9
1950,suicide,1,,2004,9
1951,drowning or exhaustion,2,,2004,9
1952,drowning or exhaustion,1,,2004,9
1953,suicide,1,,2004,9
1954,unknown,5,Central Mediterranean Route,2004,9
1955,drowning or exhaustion,4,Central Mediterranean Route,2004,9
1956,unknown,5,Central Mediterranean Route,2004,9
1957,drowning or exhaustion,5,Eastern Mediterranean Route,2004,9
1958,unknown,5,Eastern Mediterranean Route,2004,9
1959,drowning or exhaustion,1,Western Mediterranean Route,2004,9
1960,drowning or exhaustion,5,Western African Route,2004,9
1961,drowning or exhaustion,8,Western African Route,2004,9
1962,suicide,1,Western Mediterranean Route,2004,9
1963,suicide,1,,2004,9
1964,drowning or exhaustion,1,Western African Route,2004,9
1965,drowning or exhaustion,1,Western Mediterranean Route,2004,9
1966,unknown,1,Western Mediterranean Route,2004,9
1967,drowning or exhaustion,1,Western Mediterranean Route,2004,8
1968,drowning or exhaustion,2,,2004,8
1969,drowning or exhaustion,2,Central Mediterranean Route,2004,8
1970,drowning or exhaustion,1,Western Mediterranean Route,2004,8
1971,drowning or exhaustion,1,,2004,8
1972,drowning or exhaustion,2,Western Mediterranean Route,2004,8
1973,drowning or exhaustion,5,Eastern Mediterranean Route,2004,8
1974,drowning or exhaustion,4,Eastern Mediterranean Route,2004,8
1975,drowning or exhaustion,1,Eastern Mediterranean Route,2004,8
1976,drowning or exhaustion,2,,2004,8
1977,drowning or exhaustion,3,Western African Route,2004,8
1978,drowning or exhaustion,1,Western African Route,2004,8
1979,drowning or exhaustion,2,Western African Route,2004,8
1980,drowning or exhaustion,4,Western African Route,2004,8
1981,drowning or exhaustion,2,Western Mediterranean Route,2004,8
1982,drowning or exhaustion,1,Western Mediterranean Route,2004,8
1983,drowning or exhaustion,1,Western Mediterranean Route,2004,8
1984,suicide,1,,2004,8
1985,drowning or exhaustion,14,Western African Route,2004,8
1986,drowning or exhaustion,4,Western Mediterranean Route,2004,8
1987,drowning or exhaustion,16,Western African Route,2004,8
1988,unknown,1,,2004,8
1989,drowning or exhaustion,32,Western African Route,2004,8
1990,drowning or exhaustion,1,Western African Route,2004,8
1991,drowning or exhaustion,1,Western Mediterranean Route,2004,8
1992,unknown,41,Central Mediterranean Route,2004,8
1993,suicide,1,,2004,8
1994,drowning or exhaustion,1,Central Mediterranean Route,2004,8
1995,drowning or exhaustion,1,Central Mediterranean Route,2004,8
1996,drowning or exhaustion,1,Western African Route,2004,8
1997,drowning or exhaustion,26,Central Mediterranean Route,2004,8
1998,violent accidental death,4,Eastern Mediterranean Route,2004,8
1999,suicide,1,,2004,8
2000,drowning or exhaustion,1,Western Mediterranean Route,2004,8
2001,unknown,30,Western Mediterranean Route,2004,7
2002,drowning or exhaustion,3,Western Mediterranean Route,2004,7
2003,drowning or exhaustion,1,Western Mediterranean Route,2004,7
2004,drowning or exhaustion,1,Western Mediterranean Route,2004,7
2005,drowning or exhaustion,10,Western African Route,2004,7
2006,suicide,1,,2004,7
2007,suicide,1,,2004,7
2008,drowning or exhaustion,1,Western Mediterranean Route,2004,7
2009,suicide,1,,2004,7
2010,violent accidental death,1,,2004,7
2011,suicide,1,,2004,7
2012,suicide,1,,2004,7
2013,unknown,1,Central Mediterranean Route,2004,7
2014,drowning or exhaustion,9,Eastern Mediterranean Route,2004,7
2015,violent accidental death,1,Western Mediterranean Route,2004,7
2016,violent accidental death,4,Western Mediterranean Route,2004,7
2017,unknown,30,Central Mediterranean Route,2004,7
2018,drowning or exhaustion,6,Central Mediterranean Route,2004,6
2019,drowning or exhaustion,9,Central Mediterranean Route,2004,6
2020,suicide,1,,2004,6
2021,drowning or exhaustion,1,Central Mediterranean Route,2004,6
2022,drowning or exhaustion,1,Western Mediterranean Route,2004,6
2023,drowning or exhaustion,1,,2004,6
2024,drowning or exhaustion,13,Eastern Mediterranean Route,2004,6
2025,drowning or exhaustion,6,Central Mediterranean Route,2004,6
2026,drowning or exhaustion,4,Central Mediterranean Route,2004,6
2027,violent accidental death,1,,2004,6
2028,drowning or exhaustion,1,,2004,5
2029,drowning or exhaustion,3,Western Mediterranean Route,2004,5
2030,drowning or exhaustion,1,Eastern Borders Route,2004,5
2031,suicide,1,,2004,5
2032,drowning or exhaustion,4,Western African Route,2004,5
2033,unknown,5,Western African Route,2004,5
2034,malicious intent,1,,2004,5
2035,violent accidental death,1,Western Mediterranean Route,2004,5
2036,suicide,1,,2004,5
2037,drowning or exhaustion,5,Western African Route,2004,5
2038,drowning or exhaustion,1,,2004,5
2039,unknown,1,,2004,5
2040,drowning or exhaustion,1,,2004,5
2041,malicious intent,2,Central Mediterranean Route,2004,5
2042,violent accidental death,1,Eastern Mediterranean Route,2004,5
2043,drowning or exhaustion,5,Central Mediterranean Route,2004,5
2044,drowning or exhaustion,4,Eastern Mediterranean Route,2004,5
2045,drowning or exhaustion,1,Central Mediterranean Route,2004,5
2046,unknown,2,,2004,5
2047,drowning or exhaustion,2,Western Mediterranean Route,2004,4
2048,drowning or exhaustion,1,Western African Route,2004,4
2049,unknown,1,Western Mediterranean Route,2004,4
2050,drowning or exhaustion,1,Western Mediterranean Route,2004,4
2051,suicide,1,Western Mediterranean Route,2004,4
2052,suicide,1,,2004,4
2053,drowning or exhaustion,15,Western African Route,2004,4
2054,drowning or exhaustion,14,Western African Route,2004,4
2055,drowning or exhaustion,1,Western African Route,2004,4
2056,drowning or exhaustion,1,Western African Route,2004,4
2057,authorities related death,2,,2004,4
2058,drowning or exhaustion,12,Western African Route,2004,4
2059,drowning or exhaustion,2,Western African Route,2004,4
2060,violent accidental death,2,Eastern Mediterranean Route,2004,4
2061,drowning or exhaustion,4,Central Mediterranean Route,2004,4
2062,drowning or exhaustion,6,Central Mediterranean Route,2004,4
2063,drowning or exhaustion,1,Western Mediterranean Route,2004,4
2064,drowning or exhaustion,1,,2004,4
2065,authorities related death,2,Western Mediterranean Route,2004,3
2066,unknown,13,,2004,3
2067,suicide,1,,2004,3
2068,drowning or exhaustion,42,Central Mediterranean Route,2004,3
2069,drowning or exhaustion,22,Central Mediterranean Route,2004,3
2070,drowning or exhaustion,2,Western Mediterranean Route,2004,3
2071,drowning or exhaustion,1,Western Mediterranean Route,2004,2
2072,suicide,1,,2004,2
2073,drowning or exhaustion,1,Western Mediterranean Route,2004,2
2074,drowning or exhaustion,13,Eastern Mediterranean Route,2004,2
2075,drowning or exhaustion,15,Eastern Mediterranean Route,2004,2
2076,authorities related death,1,Western Mediterranean Route,2004,2
2077,unknown,18,Western African Route,2004,2
2078,drowning or exhaustion,75,Central Mediterranean Route,2004,2
2079,drowning or exhaustion,1,Western Mediterranean Route,2004,2
2080,unknown,1,,2004,2
2081,drowning or exhaustion,5,Western Mediterranean Route,2004,2
2082,suicide,1,,2004,2
2083,unknown,2,,2004,2
2084,malicious intent,1,,2004,2
2085,unknown,106,,2004,12
2086,unknown,1,Western African Route,2004,12
2087,other,1,,2004,12
2088,malicious intent,1,,2004,12
2089,suicide,2,,2004,12
2090,drowning or exhaustion,1,Western African Route,2004,12
2091,drowning or exhaustion,4,Western Mediterranean Route,2004,12
2092,drowning or exhaustion,6,Western Mediterranean Route,2004,12
2093,drowning or exhaustion,1,Western African Route,2004,12
2094,unknown,30,Western African Route,2004,12
2095,drowning or exhaustion,1,Western African Route,2004,12
2096,drowning or exhaustion,13,Western African Route,2004,12
2097,drowning or exhaustion,2,Western African Route,2004,12
2098,unknown,2,Western African Route,2004,12
2099,drowning or exhaustion,2,Western African Route,2004,12
2100,unknown,20,Western Mediterranean Route,2004,12
2101,drowning or exhaustion,1,,2004,12
2102,drowning or exhaustion,1,Western African Route,2004,12
2103,unknown,2,Western African Route,2004,12
2104,drowning or exhaustion,1,,2004,12
2105,drowning or exhaustion,1,Western African Route,2004,12
2106,drowning or exhaustion,1,Western African Route,2004,12
2107,unknown,2,Western Mediterranean Route,2004,12
2108,drowning or exhaustion,1,Central Mediterranean Route,2004,12
2109,unknown,1,Central Mediterranean Route,2004,12
2110,unknown,1,Eastern Mediterranean Route,2004,12
2111,drowning or exhaustion,1,Eastern Mediterranean Route,2004,12
2112,drowning or exhaustion,5,Western African Route,2004,12
2113,drowning or exhaustion,2,Western African Route,2004,12
2114,unknown,3,Eastern Mediterranean Route,2004,12
2115,violent accidental death,2,Eastern Mediterranean Route,2004,12
2116,drowning or exhaustion,4,Western African Route,2004,12
2117,violent accidental death,1,,2004,11
2118,drowning or exhaustion,14,Western African Route,2004,11
2119,drowning or exhaustion,2,Western African Route,2004,11
2120,drowning or exhaustion,1,,2004,11
2121,drowning or exhaustion,1,,2004,11
2122,unknown,5,Central Mediterranean Route,2004,11
2123,drowning or exhaustion,12,Central Mediterranean Route,2004,11
2124,violent accidental death,3,Eastern Mediterranean Route,2004,11
2125,drowning or exhaustion,10,Central Mediterranean Route,2004,11
2126,unknown,7,Western African Route,2004,11
2127,unknown,17,,2004,11
2128,suicide,1,,2004,11
2129,authorities related death,1,Western Mediterranean Route,2004,11
2130,suicide,1,,2004,11
2131,drowning or exhaustion,20,Central Mediterranean Route,2004,11
2132,drowning or exhaustion,16,Central Mediterranean Route,2004,11
2133,drowning or exhaustion,1,,2004,11
2134,drowning or exhaustion,1,Central Mediterranean Route,2004,10
2135,drowning or exhaustion,1,Central Mediterranean Route,2004,10
2136,drowning or exhaustion,1,Western African Route,2004,10
2137,unknown,28,Western African Route,2004,10
2138,unknown,2,Central Mediterranean Route,2004,10
2139,suicide,1,,2004,10
2140,drowning or exhaustion,1,Central Mediterranean Route,2004,10
2141,drowning or exhaustion,1,Central Mediterranean Route,2004,10
2142,suicide,1,,2004,10
2143,drowning or exhaustion,3,Eastern Mediterranean Route,2004,10
2144,drowning or exhaustion,1,,2004,10
2145,drowning or exhaustion,7,Eastern Mediterranean Route,2004,10
2146,drowning or exhaustion,9,Eastern Mediterranean Route,2004,10
2147,drowning or exhaustion,1,Western Mediterranean Route,2004,10
2148,violent accidental death,12,,2004,10
2149,unknown,2,Central Mediterranean Route,2004,10
2150,malicious intent,1,,2004,10
2151,violent accidental death,1,Eastern Mediterranean Route,2004,10
2152,suicide,1,,2004,10
2153,drowning or exhaustion,30,Central Mediterranean Route,2004,10
2154,unknown,64,Central Mediterranean Route,2004,10
2155,drowning or exhaustion,14,Eastern Mediterranean Route,2004,1
2156,drowning or exhaustion,5,Eastern Mediterranean Route,2004,1
2157,drowning or exhaustion,5,Eastern Mediterranean Route,2004,1
2158,drowning or exhaustion,5,Eastern Mediterranean Route,2004,1
2159,drowning or exhaustion,5,Eastern Mediterranean Route,2004,1
2160,drowning or exhaustion,14,Eastern Mediterranean Route,2004,1
2161,drowning or exhaustion,4,Central Mediterranean Route,2004,1
2162,drowning or exhaustion,11,Central Mediterranean Route,2004,1
2163,drowning or exhaustion,1,Western African Route,2004,1
2164,drowning or exhaustion,1,Central Mediterranean Route,2004,1
2165,drowning or exhaustion,3,Western African Route,2004,1
2166,drowning or exhaustion,3,Western African Route,2004,1
2167,drowning or exhaustion,16,Western African Route,2004,1
2168,unknown,21,,2004,1
2169,malicious intent,1,Western Balkan Route,2004,1
2170,violent accidental death,50,,2004,1
2171,drowning or exhaustion,30,Central Mediterranean Route,2004,1
2172,drowning or exhaustion,6,Central Mediterranean Route,2004,1
2173,suicide,1,,2004,1
2174,drowning or exhaustion,5,Central Mediterranean Route,2004,1
2175,drowning or exhaustion,1,Central Mediterranean Route,2004,1
2176,drowning or exhaustion,1,Western Mediterranean Route,2004,1
2177,drowning or exhaustion,23,Central Mediterranean Route,2004,1
2178,drowning or exhaustion,18,Central Mediterranean Route,2004,1
2179,authorities related death,1,,2004,1
2180,suicide,1,,2004,1
2181,drowning or exhaustion,1,Western Mediterranean Route,2004,1
2182,suicide,1,,2004,1
2183,authorities related death,1,,2004,1
2184,suicide,1,,2004,1
2185,malicious intent,1,,2004,1
2186,unknown,1,,2004,1
2187,suicide,1,,2004,1
2188,drowning or exhaustion,12,Western Mediterranean Route,2004,1
2189,unknown,2,,2004,1
2190,suicide,1,,2004,1
2191,drowning or exhaustion,2,,2003,9
2192,drowning or exhaustion,3,,2003,9
2193,violent accidental death,7,Eastern Mediterranean Route,2003,9
2194,authorities related death,1,,2003,9
2195,drowning or exhaustion,2,Western Mediterranean Route,2003,9
2196,unknown,1,Eastern Mediterranean Route,2003,9
2197,violent accidental death,1,,2003,9
2198,violent accidental death,1,,2003,9
2199,drowning or exhaustion,26,Eastern Mediterranean Route,2003,9
2200,drowning or exhaustion,1,Western African Route,2003,9
2201,malicious intent,1,,2003,9
2202,drowning or exhaustion,1,,2003,9
2203,drowning or exhaustion,6,Apulia and Calabria Route,2003,8
2204,drowning or exhaustion,23,Apulia and Calabria Route,2003,8
2205,unknown,4,Central Mediterranean Route,2003,8
2206,drowning or exhaustion,1,Western African Route,2003,8
2207,suicide,1,Western Mediterranean Route,2003,8
2208,drowning or exhaustion,1,Apulia and Calabria Route,2003,8
2209,malicious intent,1,,2003,8
2210,drowning or exhaustion,1,Central Mediterranean Route,2003,8
2211,violent accidental death,1,,2003,8
2212,drowning or exhaustion,1,Western Mediterranean Route,2003,8
2213,violent accidental death,1,,2003,8
2214,drowning or exhaustion,5,Eastern Mediterranean Route,2003,8
2215,drowning or exhaustion,5,,2003,8
2216,drowning or exhaustion,23,Western Mediterranean Route,2003,8
2217,unknown,10,Western African Route,2003,7
2218,unknown,1,Western Mediterranean Route,2003,7
2219,drowning or exhaustion,3,,2003,7
2220,drowning or exhaustion,15,Western African Route,2003,7
2221,drowning or exhaustion,1,Western African Route,2003,7
2222,drowning or exhaustion,1,Western Balkan Route,2003,7
2223,drowning or exhaustion,1,Western African Route,2003,7
2224,drowning or exhaustion,21,Central Mediterranean Route,2003,7
2225,drowning or exhaustion,25,Western African Route,2003,7
2226,drowning or exhaustion,1,,2003,7
2227,drowning or exhaustion,2,,2003,7
2228,drowning or exhaustion,30,Western Mediterranean Route,2003,7
2229,drowning or exhaustion,5,Western Mediterranean Route,2003,7
2230,drowning or exhaustion,8,Western Mediterranean Route,2003,7
2231,drowning or exhaustion,2,Western Mediterranean Route,2003,7
2232,drowning or exhaustion,1,Western African Route,2003,7
2233,malicious intent,1,,2003,7
2234,drowning or exhaustion,18,Western African Route,2003,7
2235,unknown,3,Central Mediterranean Route,2003,6
2236,drowning or exhaustion,9,Central Mediterranean Route,2003,6
2237,drowning or exhaustion,1,Western Mediterranean Route,2003,6
2238,drowning or exhaustion,2,Western Mediterranean Route,2003,6
2239,drowning or exhaustion,189,Central Mediterranean Route,2003,6
2240,drowning or exhaustion,20,Central Mediterranean Route,2003,6
2241,drowning or exhaustion,200,Central Mediterranean Route,2003,6
2242,drowning or exhaustion,1,,2003,6
2243,drowning or exhaustion,63,Central Mediterranean Route,2003,6
2244,drowning or exhaustion,3,Central Mediterranean Route,2003,6
2245,drowning or exhaustion,4,Central Mediterranean Route,2003,6
2246,drowning or exhaustion,30,Western Mediterranean Route,2003,6
2247,unknown,9,Western African Route,2003,6
2248,suicide,1,,2003,6
2249,violent accidental death,4,,2003,6
2250,unknown,2,Western Mediterranean Route,2003,6
2251,drowning or exhaustion,5,Western Mediterranean Route,2003,6
2252,drowning or exhaustion,4,Western Mediterranean Route,2003,6
2253,drowning or exhaustion,3,Western African Route,2003,6
2254,drowning or exhaustion,15,Western African Route,2003,5
2255,unknown,1,,2003,5
2256,drowning or exhaustion,4,Central Mediterranean Route,2003,5
2257,drowning or exhaustion,6,Western Mediterranean Route,2003,5
2258,drowning or exhaustion,2,Western Mediterranean Route,2003,5
